"ef_regulation","ef_trade","ef_money","ef_legal","ef_government","pf_identity","pf_expression","pf_association","pf_religion","pf_movement","pf_ss","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries"
4.953382356,5.121255567,6.726054551,2.663232022,7.729564033,1.666666667,7.523809524,6.5,8.158888889,8.333333333,6.264732049,2.900352865,6.383879883,5,10,2.5,9.49259218,9.058989134
7.098290007,8.268563035,9.331413421,6.42013942,7.880263385,5,9.154761905,10,9.265925926,10,8.979762178,6.516104054,8.614886879,10,10,10,10,9.955331603
6.358063353,6.708857694,8.542426794,5.650259343,5.039010659,9.25,5.174910149,1.5,3.666296296,3.333333333,7.528647392,4.704818051,9.753759715,0,10,5,9.996856863,9.997388778
7.044458518,6.810785115,7.973965074,3.819135946,6.859318215,10,8.452380952,10,8.740740741,8.333333333,5.452498485,4.422972598,0,0,9.794464599,2.5,9.739655158,9.753357518
5.748786109,5.509702341,7.345706139,2.629004551,7.131719827,5,6.703317185,9.15676278079302,8.509444444,1.666666667,6.245351819,2.603961178,4.581444641,0,9.305698023,2.5,7.747752124,9.552937264
5.551182245,4.883224787,5.603963678,3.244860837,5.833377341,9.166666667,6.952380952,8.5,9.35,6.666666667,7.344832886,3.512352174,6.271019436,0,10,5,7.984062781,10
6.449130777,8.003561874,9.779738252,5.891154675,7.609154834,6.875,9.595238095,9.5,8.085185185,10,8.412669119,6.626877443,5.238007358,10,10,10,10,10
6.942589699,5.480188627,7.17629177,4.564130434,5.823385664,10,8.654761905,9.5,9.444444444,6.666666667,6.510063053,4.033755934,5.347790283,5,10,5,9.690523363,9.721471026
7.287616394,8.188139185,9.136323654,5.479351478,4.68388754,10,8.607142857,9,8.051481481,10,9.860715403,5.700537868,9.582146209,10,10,10,10,10
7.547740368,8.283055903,9.489785988,5.937152237,7.31398142,10,9.452380952,8.5,7.159259259,10,9.685217644,6.327701936,9.555652932,10,10,7.5,10,10
8.08906282,8.234566268,9.386717032,6.304648234,5.770091097,9.25,9.523809524,9.5,7.764444444,10,9.91705185,7.786692219,9.754941159,10,10,10,10,9.981071956
8.320588298,8.461507677,9.863601232,8.077531163,4.134149451,10,9.69047619,9.5,7.702222222,10,9.858379683,8.687100828,9.607727447,10,10,10,9.941806433,9.89525158
6.617870998,7.945371294,9.47470033,4.03009461,7.833163855,7.5,8.869047619,7.5,8.487037037,6.666666667,7.809106013,4.352093305,3.927318039,10,10,7.5,10,10
6.046130988,6.499619559,8.254794016,3.809895071,5.666937811,10,7.94047619,6.5,7.803703704,10,9.045778617,4.258770863,7.658493327,10,10,7.5,9.979656274,9.914556351
4.818902452,5.617447238,8.149666078,3.944015342,6.066836516,0,6.46009916,3.5,3.733333333,1.666666667,5.808027923,3.626147505,8.994684823,0,9.066416922,2.5,7.888987518,8.691590283
6.243651346,7.678362506,9.808378599,3.576272354,8.429051699,7.5,7.452380952,8,9.088888889,10,6.5,4.355099989,0,10,10,7.5,10,10
8.201249995,8.434307747,9.326665307,7.441601876,5.883723858,9.25,9.619047619,9.5,8.32962963,10,9.574248415,7.801085558,8.722745246,10,10,10,10,10
6.645060594,5.056479414,5.732983571,4.644365028,6.57126919,6.666666667,5.252983157,1.5,5.552222222,6.666666667,6.698471607,3.302472672,6.975355042,5,9.837244663,2.5,9.09182522,9.837895684
8.837898836,6.595365957,6.446764945,6.073109864,5.989207072,10,7.666666667,7.04505476869219,9.202777778,8.333333333,8.86562257,4.701806119,9.096867711,10,10,5,10,10
7.717924071,8.232926712,9.36055112,8.79818106,4.151079924,9.25,9.666666667,10,7.901481481,10,9.810964083,8.639248324,9.43289225,10,10,10,10,10
7.458613785,8.178051059,9.480112303,6.922031615,4.220057943,10,9.25,10,7.253703704,10,9.69446546,6.771264767,9.459125262,10,10,10,9.526601542,8.594754052
6.785844584,5.691934877,6.589812995,3.902531341,6.244963135,3.333333333,6.178571429,4,8.944444444,0,8.038732871,4.241028336,6.782865279,10,10,5,10,10
7.011637097,7.477258228,9.250386495,5.486655889,7.475759865,5,2.895833333,4.50814620726508,7.574444444,6.666666667,6.160643405,3.981623179,6.348596882,5,10,5,10,10
8.487127074,8.563136369,9.222802318,6.314021643,7.53387218,8,8.630952381,8.5,7.160740741,8.333333333,8.670315227,5.385816218,9.604153184,10,10,5,9.910377401,9.623585083
7.986439656,8.048442496,9.479673116,7.438694666,5.480871153,10,9.357142857,10,7.697777778,10,9.815587729,8.303209527,9.52952286,10,10,10,9.886852012,9.699349633
7.150996088,6.49437524,6.972844492,5.356873168,7.019694663,7.5,8.75,7.5,8.081481481,10,9.008827092,5.747291576,9.326481275,10,10,7.5,10,10
6.434657332,7.678958625,8.037389926,5.778509815,4.379450297,6.75,8.738095238,10,7.324074074,10,8.872414211,5.789790663,9.699859465,10,10,5,7.957387577,9.962861592
6.55007591,8.19393792,9.557483712,4.382490053,9.52848501,6.25,7.459933562,7.5,8.47,10,6.333333333,3.98767717,0,10,10,5,10,10
6.875425102,5.07677247,7.944894022,3.227979181,6.54621401,1.666666667,5.788023635,9,8.54037037,3.333333333,7.032707727,3.120741098,6.470167959,10,10,7.5,9.97310944,10
5.961701886,5.735058299,6.023988402,3.82013508,4.710784314,8.333333333,7.083333333,5.86380458099463,9.852777778,10,7.00446366,2.799701015,6.180057647,10,10,5,10,10
6.475444718,6.412824588,8.329573465,4.39414131,5.924509804,5,8.083333333,7.58252833056468,9.161111111,10,7.383896523,4.661064747,2.651689568,10,10,7.5,10,10
6.886282485,7.504084903,7.216129446,2.500470609,8.430694021,6.875,8.226190476,10,8.392222222,10,7.75815154,3.582253733,5.984142612,10,10,5,9.784893382,10
6.824516794,7.217558726,9.2936517,3.435269824,8.532352941,7.5,7.964285714,8.5,8.731481481,8.333333333,5.939567336,3.194722841,0,10,10,7.5,9.926843367,10
9.439827809,9.32396899,9.568964194,7.916473999,8.588454728,9.25,8.666666667,8,8.592222222,10,9.3933455,7.13781731,9.846703167,10,10,10,10,10
7.632667959,7.953706122,9.710533115,5.919262708,4.890497079,10,8.821428571,9,7.284444444,10,9.554416221,5.439017665,9.171400265,10,10,7.5,10,9.959241995
8.009519936,7.161710811,7.055296849,8.3993485,5.451234737,9.25,9.630952381,10,8.122222222,10,9.959940303,7.572814721,9.879820909,10,10,10,10,10
6.497381642,5.572692843,8.199784181,5.156629041,7.719442848,5.5,7.921169544,7,5.488888889,6.666666667,7.432355452,4.320439849,8.710520236,0,9.83411009,5,9.883700852,9.881586322
6.429415347,6.997110677,9.683353617,4.883138286,7.81093993,6.25,7.523809524,7,3.854074074,6.666666667,8.930331429,4.077098305,9.801972829,10,10,7.5,9.971915361,9.973191935
5.670160645,4.592143712,8.431335572,4.577433516,6.875951675,3,5.357636552,4,4.271851852,0,7.102284246,4.375717373,9.012384625,0,9.875431983,2.5,9.950172793,9.980069117
6.475279949,5.239557906,7.258295299,2.774515098,5.248190078,0,5.261904762,4.5,5.327777778,0,3.96385016,2.464387305,6.058217146,0,0,0,0,0
8.46591351,8.599206441,9.255335231,7.720957247,6.312110986,10,9.5,7.5,9.082962963,10,9.708610774,7.614721658,9.679168161,10,10,7.5,9.859642533,9.87367828
7.411094704,8.211971513,9.399942105,6.158069038,6.252382111,10,7.948909543,10,5.931481481,1.666666667,9.170163569,6.790677923,9.454402089,10,10,5,9.375926359,5.904516733
7.485950008,8.250625682,9.438703624,5.709202635,5.44787404,9.25,9.071428571,9.5,8.049259259,10,9.909671786,6.503838352,9.730774735,10,10,10,9.994501945,9.996701167
